date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:33	850986/850986	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cfc2a-57f2cf8bd5700%22	http://avehtml.liquid-themes.com/assets/vendors/liquid-icon/fonts/liquid-icon.svg	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/liquid-icon/fonts/liquid-icon.svg	(from http://avehtml.liquid-themes.com/assets/vendors/liquid-icon/liquid-icon.min.css)
21:19:34	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-55a81fa4a2f00%22	http://avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont3e6e.html	(from http://avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css)
21:19:48	321852/321852	---MCZ	200	added ('OK')	application/font-woff	etag:W/%224e93c-57f2cf8bd5700%22	http://avehtml.liquid-themes.com/assets/vendors/liquid-icon/fonts/liquid-icon.woff	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/liquid-icon/fonts/liquid-icon.woff	(from http://avehtml.liquid-themes.com/assets/vendors/liquid-icon/liquid-icon.min.css)
21:19:48	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-55a81fa4a2f00%22	http://avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css)
21:19:48	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-55a81fa4a2f00%22	http://avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont.eot?	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css)
21:19:49	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2217ee8-55a81fa4a2f00%22	http://avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css)
21:19:56	148468/148468	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22243f4-54d482195c200%22	http://avehtml.liquid-themes.com/assets/vendors/fresco/fresco-skins/sprite.svg	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/fresco/fresco-skins/sprite.svg	(from http://avehtml.liquid-themes.com/assets/css/theme-vendors.min.css)
21:19:58	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c7db-55a81fa4a2f00%22	http://avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	E:/pichar.io/avehtml.liquid-themes.com/assets/vendors/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://avehtml.liquid-themes.com/assets/vendors/font-awesome/css/font-awesome.min.css)
21:19:58	11504/11504	---M--	200	added ('OK')	text/html	etag:%222cf0-566aa9ee78600%22	http://avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Regular.woff2	E:/pichar.io/avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Regular.html	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
21:20:00	11096/11096	---M--	200	added ('OK')	text/html	etag:%222b58-566aa9ee78600%22	http://avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Bold.woff2	E:/pichar.io/avehtml.liquid-themes.com/assets/fonts/GlacialIndifference-Bold.html	(from http://avehtml.liquid-themes.com/assets/css/theme.min.css)
